hour,is_holiday,day_night,surveillance_coverage,temperature,population_density,cases_7days,cases_30days,risk_level
12,0,0,0.9,32.2,18158.0,5,26,低风险
12,0,0,0.6,18.3,5000.0,10,47,中风险
19,0,1,0.05,-0.3,26053.0,6,37,中风险
2,1,1,0.25,5.9,26053.0,6,40,高风险
4,0,1,0.65,15.2,15526.0,16,51,高风险
6,0,0,0.45,7.4,24737.0,19,29,高风险
21,1,1,0.4,-5.0,15526.0,4,13,中风险
2,1,1,0.9,19.8,10263.0,19,29,中风险
20,1,1,0.3,24.5,27368.0,9,36,中风险
17,0,0,0.9,-3.4,22105.0,8,28,低风险
3,1,1,0.1,35.3,28684.0,13,44,高风险
5,0,1,0.35,40.0,28684.0,7,42,高风险
6,0,0,0.9,10.5,7632.0,10,43,中风险
19,1,1,1.0,21.4,18158.0,13,30,中风险
9,0,0,0.4,21.4,28684.0,3,33,中风险
10,0,0,0.3,30.7,23421.0,10,40,中风险
0,1,1,0.35,10.5,22105.0,13,50,高风险
1,0,1,0.5,-0.3,23421.0,12,26,高风险
21,0,1,0.0,-3.4,24737.0,9,38,高风险
13,0,0,0.45,10.5,12895.0,2,7,低风险
1,0,1,0.0,38.4,16842.0,19,55,高风险
4,0,1,0.35,30.7,12895.0,15,54,高风险
11,0,0,0.95,32.2,10263.0,0,40,低风险
11,0,0,0.4,-3.4,8947.0,8,32,低风险
9,0,0,0.35,21.4,27368.0,14,27,中风险
16,0,0,0.85,9.0,11579.0,11,15,低风险
13,0,0,0.7,12.1,27368.0,8,46,中风险
0,1,1,0.65,5.9,24737.0,0,7,中风险
9,1,0,0.65,33.8,19474.0,7,28,低风险
2,1,1,0.7,-5.0,12895.0,11,42,中风险
11,0,0,0.35,36.9,15526.0,3,15,低风险
18,1,1,0.6,-1.9,23421.0,10,37,中风险
9,1,0,0.15,5.9,16842.0,20,23,中风险
17,1,0,0.9,4.3,15526.0,11,11,低风险
0,0,1,0.1,35.3,28684.0,7,37,高风险
1,1,1,0.15,12.1,23421.0,9,23,高风险
16,0,0,0.1,21.4,30000.0,19,46,高风险
20,0,1,0.1,10.5,28684.0,18,29,高风险
22,0,1,0.7,38.4,5000.0,13,44,中风险
9,0,0,1.0,-3.4,10263.0,1,2,低风险
20,1,1,0.75,-5.0,5000.0,11,47,低风险
2,1,1,0.65,15.2,28684.0,10,35,高风险
5,0,1,0.3,15.2,5000.0,14,52,高风险
